TA843140N00,42500,A1,2200,WAIT,,56,1.87,
TA843173N00,31500,A1,2200,RUN,TACVD200,56,0.86,
TA843138N00,31500,A1,2200,WAIT,,55,0.04,
TA843168N00,31500,A1,2200,WAIT,,56,2.15,
TA843180N00,31500,A1,2200,WAIT,,56,0.31,
TA843038N00,31500,A5,2200,WAIT,,36,0.81,
TA843218N00,31500,A5,2200,WAIT,,56,0.86,
TA843212N00,31500,A5,2200,WAIT,,56,0.30,
TA842982N01,39000,A5,2200,RUN,TACVD500,52,0.43,
TA843158N00,39000,A5,2200,RUN,TACVD600,56,0.05,
TA843167N00,39000,A5,2200,RUN,TACVD700,56,1.78,
TA843131N01,39000,A5,2200,WAIT,,53,0.13,
TA843116N00,39000,A5,2200,RUN,TACVD900,56,0.39,1
TA843060N00,39000,A5,2200,RUN,TACVDC00,52,0.04,
TA842991N00,39000,A5,2200,WAIT,,55,0.10,
TA843154N00,42500,A1,2200,WAIT,,53,0.20,
TA843156N00,42500,A1,2200,RUN,TACVD800,56,0.17,
TA843112N04,48500,A3,2200,RUN,TACVD300,48,0.65,
TA843098N02,48500,A3,2200,WAIT,,52,0.15,
TA843099N00,54600,A4,2200,WAIT,,56,3.22,
TA842987N00,65500,A4,2200,RUN,TACVDD00,55,0.11,
TA843049N01,42500,A1,2200,WAIT,,54,0.52,1
TA843080N02,48500,A3,2200,WAIT,,54,1.53,1
TA843056N00,39000,A5,2200,WAIT,,1,22.52,
TA843069N01,48500,A3,2200,WAIT,,3,7.89,
TA843095N03,54600,A4,2200,WAIT,,1,2.00,
TA843045N01,65500,A4,2200,WAIT,,1,22.52,
TA843047N01,65500,A4,2200,WAIT,,2,0.49,
TA843146N01,39000,A5,3200,WAIT,,54,3.40,
TA843150N00,39000,A5,3200,WAIT,,56,0.34,
TA843077N00,42500,A1,3200,WAIT,,55,1.48,
TA843082N04,48500,A3,3200,WAIT,,46,1.11,
TA842955N00,65500,A4,3200,WAIT,,55,0.98,
TA843169N01,42500,A1,3200,WAIT,,55,0.77,
TA843097N01,54600,A4,3200,WAIT,,28,0.13,
TA843071N03,48500,A3,3200,WAIT,,20,0.03,
TA843101N00,48500,A3,3200,WAIT,,56,0.23,
TA843106N00,31500,A1,3200,WAIT,,56,17.39,
TA843071N02,48500,A3,3200,WAIT,,27,0.19,
TA842956N02,65500,A4,3200,WAIT,,55,7.43,1
TA843188N00,31500,A1,3200,WAIT,,56,0.15,1
TA843109N02,31500,A5,3200,WAIT,,5,0.52,
TA843113N00,31500,A5,3200,WAIT,,56,0.13,
TA843162N00,39000,A5,3200,WAIT,,56,1.11,
TA842911N02,39000,A5,3200,WAIT,,50,0.05,
TA843148N00,39000,A5,3200,RUN,TAMSP100,56,0.16,
TA843134N00,42500,A1,3200,WAIT,,56,3.35,
TA843129N02,42500,A1,3200,RUN,TAMSP500,50,0.14,
TA842946N00,42500,A1,3200,WAIT,,28,1.20,
TA843115N00,42500,A1,3200,WAIT,,56,2.59,
TA843010N01,42500,A1,3200,WAIT,,25,0.20,
TA843026N03,48500,A3,3200,WAIT,,43,4.02,
TA843073N02,48500,A3,3200,WAIT,,45,2.91,
TA843095N01,54600,A4,3200,WAIT,,27,2.02,
TA843097N00,54600,A4,3200,WAIT,,28,0.78,
TA842944N00,65500,A1,3200,WAIT,,55,0.10,
TA842939N03,65500,A1,3200,WAIT,,4,5.78,
TA843047N00,65500,A4,3200,WAIT,,55,0.08,
TA842962N00,65500,A4,3200,WAIT,,56,0.78,
TA843012N01,65500,A4,3200,RUN,TAMSP600,56,0.46,
TA842957N01,65500,A4,3200,RUN,TAMSP700,56,0.68,1
TA843016N00,65500,A4,3200,RUN,TAMSP900,56,1.14,
TA843029N00,65500,A4,3200,WAIT,,54,1.03,
TA843087N00,31500,A1,3200,WAIT,,1,0.28,
TA842959N00,39000,A5,3200,WAIT,,12,0.78,
TA842860N04,42500,A1,3200,WAIT,,32,0.96,
TA842907N00,42500,A1,3200,WAIT,,23,20.79,
TA842755N01,49500,A3,3200,WAIT,,1,0.19,
TA843041N00,65500,A4,3200,WAIT,,3,1.67,1
TA842954N00,65500,A4,3300,WAIT,,56,0.03,
TA843102N00,39000,A5,3300,WAIT,,56,0.99,
TA842994N01,48500,A3,3300,WAIT,,55,0.02,
TA842807N05,65500,A1,3300,WAIT,,12,0.55,1
TA843015N00,65500,A4,3300,WAIT,,55,0.19,
TA842772N09,27500,A1,3300,WAIT,,3,1.43,
TA843030N00,31500,A1,3300,WAIT,,2,2.90,
TA843096N00,31500,A1,3300,WAIT,,56,5.36,
TA843122N00,31500,A5,3300,WAIT,,56,2.23,1
TA843132N00,31500,A5,3300,WAIT,,56,2.32,
TA843109N00,31500,A5,3300,WAIT,,50,0.71,
TA843152N01,31500,A5,3300,WAIT,,55,1.51,
TA843142N00,31500,A5,3300,WAIT,,56,3.29,
TA843160N00,31500,A5,3300,WAIT,,56,4.63,
TA842975N00,39000,A4,3300,WAIT,,8,13.97,
TA843070N00,39000,A5,3300,WAIT,,4,2.23,
TA843088N01,42500,A1,3300,WAIT,,55,2.94,
TA843117N00,42500,A1,3300,WAIT,,56,4.64,
TA843010N02,42500,A1,3300,WAIT,,49,3.84,
TA843107N00,42500,A1,3300,WAIT,,56,2.34,
TA843061N01,48500,A3,3300,WAIT,,54,2.68,
TA843086N01,48500,A3,3300,WAIT,,53,0.39,
TA843084N04,48500,A3,3300,RUN,TAPHL700,53,0.37,
TA843104N00,48500,A3,3300,WAIT,,56,0.36,
TA843095N02,54600,A4,3300,WAIT,,10,1.03,
TA843095N00,54600,A4,3300,WAIT,,18,2.90,
TA842999N00,54600,A4,3300,WAIT,,56,1.16,
TA843039N00,65500,A4,3300,WAIT,,55,0.24,
TA843043N01,65500,A4,3300,RUN,TAPHLB00,55,0.68,
TA843037N01,65500,A4,3300,WAIT,,55,0.71,
TA842953N00,65500,A1,3300,WAIT,,52,6.46,
TA842923N00,65500,A1,3300,WAIT,,56,7.73,
TA843066N00,42500,A1,3400,WAIT,,56,0.06,
TA843076N00,42500,A1,3400,WAIT,,56,0.00,
TA843011N00,48500,A3,3400,WAIT,,55,0.27,
TA843063N00,48500,A3,3400,WAIT,,55,0.37,
TA842934N03,48500,A3,3400,WAIT,,51,0.69,
TA843017N00,48500,A3,3400,WAIT,,52,1.58,
TA843036N01,65500,A4,3400,WAIT,,10,0.70,
TA842984N01,65500,A4,3400,WAIT,,54,0.03,
TA843031N00,65500,A4,3400,WAIT,,56,0.00,
TA842985N01,65500,A4,3400,WAIT,,55,1.12,
TA843050N00,39000,A5,3400,WAIT,,51,0.32,
TA843025N00,65500,A4,3400,WAIT,,56,1.06,
TA843072N01,42500,A1,3400,WAIT,,55,0.13,
TA842882N01,39000,A5,3400,WAIT,,56,0.15,
TA843069N02,48500,A3,3400,WAIT,,52,2.43,
TA843018N00,42500,A1,3400,WAIT,,55,2.22,
TA843009N00,42500,A1,3400,WAIT,,52,1.58,
TA842953N02,65500,A1,3400,WAIT,,10,1.30,
TA843085N00,31500,A1,3400,WAIT,,55,5.03,
TA843089N00,31500,A5,3400,WAIT,,56,2.15,
TA843124N00,31500,A5,3400,RUN,TAWET200,56,0.28,
TA842980N00,39000,A5,3400,WAIT,,56,5.41,
TA843136N00,39000,A5,3400,WAIT,,55,0.24,
TA843020N00,39000,A5,3400,WAIT,,56,4.13,
TA843070N01,39000,A5,3400,WAIT,,55,1.21,
TA842990N00,42500,A1,3400,WAIT,,56,3.53,
TA842919N00,42500,A1,3400,WAIT,,55,2.85,
TA842905N06,42500,A1,3400,WAIT,,54,3.05,
TA842407N09,42500,A1,3400,WAIT,,51,1.38,
TA842809N02,42500,A1,3400,WAIT,,10,3.48,
TA843057N02,48500,A3,3400,WAIT,,50,4.84,
TA843059N01,48500,A3,3400,WAIT,,28,3.83,
TA842755N03,49500,A3,3400,WAIT,,7,1.20,
TA843045N00,65500,A4,3400,WAIT,,55,0.95,
TA843036N00,65500,A4,3400,WAIT,,45,1.39,
TA843033N00,65500,A4,3400,RUN,TAWET700,55,0.33,1
TA843087N01,31500,A1,2401,WAIT,,55,0.24,
TA843051N01,31500,A1,2401,RUN,TADRYD00,46,0.14,
TA843166N00,31500,A5,2401,RUN,TADRY300,56,0.34,
TA843091N00,31500,A5,2401,RUN,TADRY600,56,0.21,
TA842998N00,39000,A5,2401,RUN,TADRY700,56,1.25,1
TA843046N03,39000,A5,2401,RUN,TADRYB00,52,0.25,
TA843064N01,39000,A5,2401,WAIT,,55,0.12,
TA842947N03,39000,A5,2401,WAIT,,46,0.29,
TA843062N00,39000,A5,2401,WAIT,,53,2.19,
TA843035N01,42500,A1,2401,RUN,TADRY100,53,1.41,
TA843040N00,42500,A1,2401,WAIT,,52,0.15,
TA843021N00,65500,A4,2401,RUN,TADRY900,54,0.15,
TA843019N01,65500,A4,2401,WAIT,,55,0.67,
TA843041N02,65500,A4,2401,WAIT,,45,0.20,
TA843093N00,31500,A1,3402,WAIT,,56,1.67,
TA842875N00,42500,A1,3402,WAIT,,56,1.51,
TA842936N01,42500,A1,3402,WAIT,,56,1.50,
TA842988N00,42500,A1,3402,WAIT,,51,0.23,
TA842925N03,42500,A1,3402,WAIT,,46,0.08,
TA842807N02,65500,A1,3402,WAIT,,10,9.50,
TA842942N01,65500,A1,3402,WAIT,,53,2.08,
TA842803N03,27500,A1,3402,WAIT,,51,1.43,
TA843038N01,31500,A1,3402,WAIT,,34,0.78,
TA843067N02,31500,A1,3402,WAIT,,51,2.83,
TA843083N00,31500,A1,3402,WAIT,,56,1.48,
TA842902N01,39000,A1,3402,WAIT,,2,3.85,
TA842830N01,39000,A2,3402,WAIT,,19,4.20,
TA842845N02,39000,A4,3402,WAIT,,8,2.97,
TA842845N03,39000,A4,3402,WAIT,,7,3.90,
TA842856N00,39000,A4,3402,WAIT,,52,0.96,
TA843054N00,39000,A5,3402,WAIT,,56,0.17,
TA843032N00,39000,A5,3402,WAIT,,56,4.52,
TA843074N00,39000,A5,3402,WAIT,,53,2.06,
TA843014N00,39000,A5,3402,WAIT,,55,3.55,
TA842914N01,39000,A5,3402,WAIT,,55,2.22,
TA843005N02,39000,A5,3402,WAIT,,39,0.06,
TA843005N01,39000,A5,3402,RUN,TAWET100,54,0.07,1
TA842927N03,39000,A5,3402,RUN,TAWET300,54,0.26,
TA842965N00,39000,A5,3402,RUN,TAWET500,56,0.34,
TA843056N02,39000,A5,3402,WAIT,,53,0.23,1
TA842862N02,42500,A1,3402,WAIT,,45,0.08,
TA842897N03,42500,A1,3402,WAIT,,56,2.65,1
TA842937N01,65500,A1,3402,WAIT,,50,1.43,
TA842807N06,65500,A1,3402,WAIT,,24,3.22,
TA842933N00,65500,A1,3402,WAIT,,56,3.98,
TA842921N00,65500,A1,3402,WAIT,,55,1.45,
TA842807N00,65500,A4,3402,WAIT,,8,2.99,
TA842805N01,27500,A1,3600,WAIT,,56,3.83,
TA843058N00,31500,A1,3600,RUN,TADRYF00,56,0.32,
TA843042N00,31500,A1,3600,WAIT,,55,0.53,
TA843065N00,31500,A1,3600,WAIT,,56,1.64,
TA843030N01,31500,A1,3600,WAIT,,55,4.67,
TA842887N02,39000,A4,3600,RUN,TADRY200,55,1.03,
TA842901N01,39000,A4,3600,RUN,TADRY400,52,0.92,1
TA842869N00,39000,A4,3600,WAIT,,48,0.02,
TA842843N00,39000,A4,3600,WAIT,,52,0.15,
TA842898N00,39000,A4,3600,WAIT,,56,0.23,
TA842949N01,39000,A5,3600,RUN,TADRYE00,56,1.29,
TA843000N00,39000,A5,3600,WAIT,,56,0.26,
TA843048N00,39000,A5,3600,WAIT,,56,0.12,
TA843002N01,39000,A5,3600,WAIT,,51,0.24,
TA842958N01,65500,A1,3600,WAIT,,55,0.86,
TA842892N00,39000,A5,3800,WAIT,,56,0.87,
TA843006N00,39000,A5,3800,WAIT,,55,0.75,
TA842977N00,39000,A5,3800,RUN,TASTR600,55,0.24,
TA842950N00,42500,A1,3800,WAIT,,56,0.06,
TA842860N03,42500,A1,3800,WAIT,,43,0.06,1
TA842795N02,42500,A1,3800,RUN,TASTRA00,50,0.07,
TA842658N00,49500,A3,3800,WAIT,,36,1.12,
TA842939N00,65500,A1,3800,WAIT,,52,0.15,
TA842895N00,42500,A1,4200,WAIT,,56,0.70,
TA842938N00,42500,A1,4200,WAIT,,53,0.63,
TA842773N00,42500,A1,4200,WAIT,,55,0.73,
TA842877N00,42500,A1,4200,WAIT,,53,1.88,
TA842913N01,42500,A1,4200,WAIT,,51,0.81,
TA842750N04,42500,A1,4200,WAIT,,36,2.10,
TA842871N01,42500,A1,4200,WAIT,,50,0.23,
TA843008N00,42500,A1,4200,WAIT,,56,1.34,
TA842867N01,39000,A5,4200,WAIT,,54,2.28,
TA843028N00,31500,A1,4200,WAIT,,55,0.73,
TA842912N00,39000,A5,4200,WAIT,,56,2.48,
TA842917N00,39000,A2,4200,WAIT,,56,5.06,1
TA842772N05,27500,A1,4200,WAIT,,9,3.26,
TA843023N00,31500,A1,4200,WAIT,,55,0.14,
TA842730N00,31500,A4,4200,WAIT,,1,8.27,
TA842968N00,39000,A2,4200,RUN,TACVDB00,56,0.55,
TA842971N01,39000,A2,4200,WAIT,,52,1.08,
TA842975N08,39000,A4,4200,WAIT,,44,0.54,
TA842864N00,39000,A4,4200,WAIT,,56,4.47,
TA842894N00,39000,A4,4200,WAIT,,56,0.49,
TA843007N00,39000,A5,4200,WAIT,,56,2.89,
TA842970N00,39000,A5,4200,WAIT,,56,1.67,1
TA842801N01,39000,A5,4200,WAIT,,56,1.69,
TA843004N01,39000,A5,4200,RUN,TACVDA00,54,0.79,
TA842896N00,39000,A5,4200,WAIT,,56,1.82,
TA842976N00,39000,A5,4200,WAIT,,56,2.66,
TA842964N00,39000,A5,4200,WAIT,,55,6.36,
TA843075N00,39000,A5,4200,WAIT,,56,1.64,
TA842610N03,42500,A1,4200,RUN,TACVD100,53,0.32,
TA842747N01,42500,A1,4200,RUN,TACVD400,54,0.88,
TA842928N03,42500,A1,4200,WAIT,,52,0.73,
TA843034N01,42500,A1,4200,WAIT,,54,0.08,
TA842798N03,42500,A1,4200,WAIT,,28,2.90,
TA842700N00,49500,A3,4200,WAIT,,56,1.14,
TA842706N03,49500,A3,4200,WAIT,,52,1.21,
TA842761N02,49500,A3,4200,WAIT,,54,1.82,
TA842630N03,49500,A3,4200,WAIT,,3,1.21,
TA842775N01,49500,A3,4200,WAIT,,55,2.00,
TA842824N01,39000,A2,4300,WAIT,,56,6.97,
TA843003N00,39000,A5,4300,WAIT,,55,2.13,
TA842978N00,39000,A5,4300,WAIT,,53,2.72,
TA842772N01,27500,A1,4300,WAIT,,39,1.59,
TA843024N01,31500,A1,4300,WAIT,,53,3.17,
TA843044N00,31500,A1,4300,WAIT,,56,1.54,
